<DTYYYYMMDD>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
20181127;163000;1.13240;1.13286;1.13090;1.13123;1772
20181127;164500;1.13123;1.13123;1.12965;1.12967;1792
20181127;170000;1.12967;1.13024;1.12907;1.12955;1594
20181127;171500;1.12955;1.13100;1.12940;1.13086;1556
20181127;173000;1.13084;1.13092;1.13001;1.13001;865
20181127;174500;1.13001;1.13021;1.12876;1.12899;1506
20181127;180000;1.12899;1.12904;1.12844;1.12862;1510
20181127;181500;1.12863;1.12931;1.12851;1.12923;1136
20181127;183000;1.12922;1.12933;1.12862;1.12866;645
20181127;184500;1.12866;1.12879;1.12777;1.12804;904
20181127;190000;1.12804;1.12869;1.12796;1.12805;780
20181127;191500;1.12805;1.12840;1.12770;1.12840;757
20181127;193000;1.12840;1.12922;1.12823;1.12894;851
20181127;194500;1.12894;1.12910;1.12843;1.12848;713
20181127;200000;1.12847;1.12937;1.12841;1.12937;887
20181127;201500;1.12936;1.12968;1.12906;1.12910;918
20181127;203000;1.12911;1.13002;1.12907;1.12972;722
20181127;204500;1.12970;1.13023;1.12955;1.12965;698
20181127;210000;1.12965;1.12982;1.12950;1.12966;570
20181127;211500;1.12966;1.12988;1.12943;1.12974;321
20181127;213000;1.12975;1.12976;1.12927;1.12958;532
20181127;214500;1.12958;1.12990;1.12940;1.12942;650
20181127;220000;1.12943;1.12944;1.12913;1.12916;471
20181127;221500;1.12916;1.12937;1.12901;1.12928;532
20181127;223000;1.12928;1.12958;1.12903;1.12951;412
20181127;224500;1.12950;1.12979;1.12936;1.12961;367
20181127;230000;1.12961;1.12961;1.12936;1.12941;155
20181127;231500;1.12941;1.12952;1.12931;1.12944;131
20181127;233000;1.12944;1.12966;1.12941;1.12965;237
20181127;234500;1.12964;1.12965;1.12854;1.12874;718
20181128;000000;1.12849;1.12946;1.12849;1.12925;300
20181128;001500;1.12926;1.12946;1.12925;1.12930;180
20181128;003000;1.12931;1.12944;1.12927;1.12937;95
20181128;004500;1.12935;1.12941;1.12924;1.12935;151
20181128;010000;1.12935;1.12957;1.12903;1.12940;283
20181128;011500;1.12940;1.12989;1.12940;1.12975;186
20181128;013000;1.12975;1.12983;1.12939;1.12955;151
20181128;014500;1.12955;1.12984;1.12951;1.12966;161
20181128;020000;1.12966;1.12967;1.12934;1.12964;452
20181128;021500;1.12964;1.12968;1.12932;1.12962;355
20181128;023000;1.12962;1.12962;1.12939;1.12950;309
20181128;024500;1.12954;1.12954;1.12848;1.12884;663
20181128;030000;1.12884;1.12885;1.12852;1.12884;380
20181128;031500;1.12883;1.12887;1.12861;1.12870;301
20181128;033000;1.12870;1.12895;1.12858;1.12873;244
20181128;034500;1.12872;1.12906;1.12865;1.12874;289
20181128;040000;1.12875;1.12918;1.12875;1.12910;213
20181128;041500;1.12910;1.12926;1.12895;1.12923;331
20181128;043000;1.12923;1.12924;1.12899;1.12910;280
